year	state	office	dist	type	nextup	party	party_formal	name_snyder	inc	candidatevotes	totalvotes	won	runoff
2006.0	"AK"	"H"	1.0	"G"	2008.0	"D"	"D"	"BENSON, DIANE E."	0.0	93879.0	234085.0	0.0	
2006.0	"AK"	"H"	1.0	"G"	2008.0	"Grn"	"Grn"	"INCE, EVA L."	0.0	1819.0	234085.0	0.0	
2006.0	"AK"	"H"	1.0	"G"	2008.0	"Lbt"	"Lbt"	"CRAWFORD, ALEXANDER"	0.0	4029.0	234085.0	0.0	
2006.0	"AK"	"H"	1.0	"G"	2008.0	"Other"	"Imp"	"RATIGAN, WILLIAM W. (BILL)"	0.0	1615.0	234085.0	0.0	
2006.0	"AK"	"H"	1.0	"G"	2008.0	"R"	"R"	"YOUNG, DONALD E. (DON)"	1.0	132743.0	234085.0	1.0	
2006.0	"AK"	"G"		"G"	2010.0	"D"	"D"	"KNOWLES, TONY"	0.0	97238.0	236938.0	0.0	
2006.0	"AK"	"G"		"G"	2010.0	"Grn"	"Grn"	"MASSIE, DAVID M."	0.0	593.0	236938.0	0.0	
2006.0	"AK"	"G"		"G"	2010.0	"I"	"I"	"HALCRO, ANDREW J."	0.0	22443.0	236938.0	0.0	
2006.0	"AK"	"G"		"G"	2010.0	"Lbt"	"Lbt"	"TOIEN, WILLIAM S. (BILLY)"	0.0	682.0	236938.0	0.0	
2006.0	"AK"	"G"		"G"	2010.0	"Other"	"AK Indep"	"WRIGHT, DONALD R. (DON)"	0.0	1285.0	236938.0	0.0	
2006.0	"AK"	"G"		"G"	2010.0	"R"	"R"	"PALIN, SARAH H."	0.0	114697.0	236938.0	1.0	
2006.0	"AL"	"H"	1.0	"G"	2008.0	"D"	"D"	"BECKERLE, VIVIAN SHEFFIELD"	0.0	52770.0	165714.0	0.0	
2006.0	"AL"	"H"	2.0	"G"	2008.0	"D"	"D"	"JAMES, CHARLES DEAN (CHUCK)"	0.0	54450.0	178752.0	0.0	
2006.0	"AL"	"H"	3.0	"G"	2008.0	"D"	"D"	"PIERCE, GREG A."	0.0	63559.0	165230.0	0.0	
2006.0	"AL"	"H"	4.0	"G"	2008.0	"D"	"D"	"BOBO, BARBARA"	0.0	54382.0	182866.0	0.0	
2006.0	"AL"	"H"	5.0	"G"	2008.0	"D"	"D"	"CRAMER, ROBERT EDWARD (BUD), JR."	1.0	143015.0	143015.0	1.0	
2006.0	"AL"	"H"	7.0	"G"	2008.0	"D"	"D"	"DAVIS, ARTUR GENESTRE"	1.0	133870.0	133870.0	1.0	
2006.0	"AL"	"H"	3.0	"G"	2008.0	"I"	"I"	"LAYFIELD, MARK EDWIN"	0.0	3414.0	165230.0	0.0	
2006.0	"AL"	"H"	1.0	"G"	2008.0	"R"	"R"	"BONNER, JOSIAH ROBIAS (JO), JR."	1.0	112944.0	165714.0	1.0	
2006.0	"AL"	"H"	2.0	"G"	2008.0	"R"	"R"	"EVERETT, ROBERT TERRY"	1.0	124302.0	178752.0	1.0	
2006.0	"AL"	"H"	3.0	"G"	2008.0	"R"	"R"	"ROGERS, MICHAEL DENNIS (MIKE)"	1.0	98257.0	165230.0	1.0	
2006.0	"AL"	"H"	4.0	"G"	2008.0	"R"	"R"	"ADERHOLT, ROBERT BROWN"	1.0	128484.0	182866.0	1.0	
2006.0	"AL"	"H"	6.0	"G"	2008.0	"R"	"R"	"BACHUS, SPENCER THOMAS, III"	1.0	163514.0	163514.0	1.0	
2006.0	"AL"	"G"		"G"	2010.0	"D"	"D"	"BAXLEY, LUCY"	0.0	519827.0	1238154.0	0.0	
2006.0	"AL"	"G"		"G"	2010.0	"R"	"R"	"RILEY, ROBERT R. (BOB)"	1.0	718327.0	1238154.0	1.0	
2006.0	"AR"	"H"	1.0	"G"	2008.0	"D"	"D"	"BERRY, ROBERT MARION"	1.0	127577.0	184188.0	1.0	
2006.0	"AR"	"H"	2.0	"G"	2008.0	"D"	"D"	"SNYDER, VICTOR FREDERICK (VIC)"	1.0	124871.0	206303.0	1.0	
2006.0	"AR"	"H"	3.0	"G"	2008.0	"D"	"D"	"ANDERSON, WOODROW WILSON, III"	0.0	75885.0	200924.0	0.0	
2006.0	"AR"	"H"	4.0	"G"	2008.0	"D"	"D"	"ROSS, MICHAEL AVERY (MIKE)"	1.0	128236.0	171596.0	1.0	
2006.0	"AR"	"H"	1.0	"G"	2008.0	"R"	"R"	"STUMBAUGH, MICKEY DARRIN (STUBBY)"	0.0	56611.0	184188.0	0.0	
2006.0	"AR"	"H"	2.0	"G"	2008.0	"R"	"R"	"MAYBERRY, ANDY JOSEPH"	0.0	81432.0	206303.0	0.0	
2006.0	"AR"	"H"	3.0	"G"	2008.0	"R"	"R"	"BOOZMAN, JOHN NICHOLS"	1.0	125039.0	200924.0	1.0	
2006.0	"AR"	"H"	4.0	"G"	2008.0	"R"	"R"	"ROSS, JOE C."	0.0	43360.0	171596.0	0.0	
2006.0	"AR"	"G"		"G"	2010.0	"D"	"D"	"BEEBE, MIKE D."	0.0	430765.0	774346.0	1.0	
2006.0	"AR"	"G"		"G"	2010.0	"Grn"	"Grn"	"LENDALL, JIM"	0.0	12774.0	774346.0	0.0	
2006.0	"AR"	"G"		"G"	2010.0	"I"	"I"	"BRYAN, ROD"	0.0	15767.0	774346.0	0.0	
2006.0	"AR"	"G"		"G"	2010.0	"R"	"R"	"HUTCHINSON, WILLIAM (ASA)"	0.0	315040.0	774346.0	0.0	
2006.0	"AZ"	"S"	1.0	"G"	2012.0	"D"	"D"	"PEDERSON, JIM"	0.0	664141.0	1526770.0	0.0	
2006.0	"AZ"	"S"	1.0	"G"	2012.0	"Lbt"	"Lbt"	"MACK, RICHARD I."	0.0	48231.0	1526770.0	0.0	
2006.0	"AZ"	"S"	1.0	"G"	2012.0	"R"	"R"	"KYL, JON L."	1.0	814398.0	1526770.0	1.0	
2006.0	"AZ"	"H"	1.0	"G"	2008.0	"D"	"D"	"SIMON, ELLEN"	0.0	88691.0	204139.0	0.0	
2006.0	"AZ"	"H"	2.0	"G"	2008.0	"D"	"D"	"THRASHER, JOHN ARMIN"	0.0	89671.0	230555.0	0.0	
2006.0	"AZ"	"H"	3.0	"G"	2008.0	"D"	"D"	"PAINE, HERBERT JAMES (HERB)"	0.0	72586.0	189849.0	0.0	
2006.0	"AZ"	"H"	4.0	"G"	2008.0	"D"	"D"	"PASTOR, EDWARD LOPEZ (ED)"	1.0	56464.0	77861.0	1.0	
2006.0	"AZ"	"H"	5.0	"G"	2008.0	"D"	"D"	"MITCHELL, HAROLD E. (HARRY)"	0.0	101838.0	202010.0	1.0	
2006.0	"AZ"	"H"	7.0	"G"	2008.0	"D"	"D"	"GRIJALVA, RAUL M."	1.0	80354.0	131525.0	1.0	
