Date,Guest,Primetime,Tucker
April 23 2020 Thursday,Steven Hahn;Stephen Lewia;Nicole Saphier,1,0
May 19 2020 Tuesday,Pat Toomey,0,0
April 22 2020 Wednesday,Stew Leonard Jr.,0,0
May 21 2020 Thursday,Tom Ridge,0,0
June 18 2020 Thursday,Brad Smith,0,0
December 10 2020 Thursday,Kayleigh McEnany;Kevin McCarthy;Corey Lewandowski;Larry Elder;Leo Terrell,1,0
March 13 2020 Friday,Dan Patrick;Janette Nesheiwat;Daliah Wachs;Alex Hogan;Elizabeth Schneider;Roger Klein;Carl ,1,0
February 25 2020 Tuesday,Marco Rubio;David Schoen;Tony Sayegh;Andy Biggs,1,0
February 25 2020 Tuesday,Ro Khanna;Tim O'Brien;Cedric Richmond;K.T. McFarland;Dan Sullivan,0,0
May 22 2020 Friday,Alex Swoyer;Bryan Rotella,1,0
December 30 2020 Wednesday,Ned Ryun;Joe Bastardi;Stefan Mychajliw;Christopher Rufo;Greg Abbott,1,1
August 22 2020 Saturday,Michael Loftus,1,0
October 28 2020 Wednesday,Brian Morgenstern;Randy Sutton;Horace Cooper;Nomiki Konst;Emma Michelle Phillips,1,0
September 16 2020 Wednesday,Ben Shapiro;Kevin McCarthy;Alex Berenson;Ramin Oskoui;Candace Owens,1,0
March 2 2020 Monday,,0,0
May 29 2020 Friday,Rochelle Ritchie;Dan Crenshaw;K.T. McFarland;Glenn Greenwald;Jack Brewer,0,0
December 10 2020 Thursday,,0,0
June 4 2020 Thursday,Chad Wolf;Lindsey Graham;Stacy Washington;Tom Cotton;Jeff Grenell,0,0
November 2 2020 Monday,,0,0
June 9 2020 Tuesday,,0,0
July 26 2020 Sunday,Steve Scalise;Emanuel Cleaver,0,0
January 1 2020 Wednesday,,1,0
March 20 2020 Friday,Jerome Adams;John Kennedy;Amesh Adalja;Victor Davis Hanson;Scott Holmer,0,0
May 27 2020 Wednesday,,0,0
February 17 2020 Monday,,0,0
July 23 2020 Thursday,,0,0
April 28 2020 Tuesday,Mitchell McConnell,0,0
February 27 2020 Thursday,,0,0
November 4 2020 Wednesday,,0,0
May 29 2020 Friday,,0,0
August 24 2020 Monday,,0,0
November 9 2020 Monday,Ted Cruz;Ken Starr;Lindsey Graham,1,0
July 28 2020 Tuesday,Mike Pence;Eric Swalwell;James Louie;Gregory Skomal,0,0
April 24 2020 Friday,Eddie Ares,0,0
July 21 2020 Tuesday,Fedrick Ingram;John Kennedy; Ken Cuccinelli,0,0
May 12 2020 Tuesday,Ramin Oskoui;Stephen Smith;Ben Carson;Devin Nunes;Kim Strassel;Phil Kerpen;Daniel Camp;Dinesh ,1,0
January 30 2020 Thursday,Mark Meadows;Robert Ray;John Eastman;Tony Sayegh;Newt Gingrich,1,0
December 11 2020 Friday,Brett Giroir,0,0
January 2 2020 Thursday,Wilbur Ross;Marc Thiessen;Mara Liasson;Matthew Continetti,0,0
December 7 2020 Monday,Brett Giroir,0,0
April 15 2020 Wednesday,Scott Whitaker,0,0
October 12 2020 Monday,Lindsey Graham,1,0
June 8 2020 Monday,,0,0
February 18 2020 Tuesday,,0,0
November 8 2020 Sunday,Ray Suarez;Frank Luntz,0,0
December 21 2020 Monday,,0,0
May 19 2020 Tuesday,,0,0
December 20 2020 Sunday,Clarence Page,0,0
January 7 2020 Tuesday,,0,0
December 16 2020 Wednesday,Jonathan Swan;Kimberley Strassel,0,0
July 6 2020 Monday,Jeffrey Engel;Francis Suarez;Qanta Ahmed;Philip Wegmann;Pat Brosnan,0,0
August 26 2020 Wednesday,Sara Nelson;Joe Lieberman;John Bel Edwards;Carly Fiorina;Ken Cuccinelli;Nim Kidd,0,0
November 10 2020 Tuesday,Ali Mokdad;Joe Lieberman;James Trusty;Eliza Collins,0,0
January 3 2020 Friday,,0,0
October 21 2020 Wednesday,Alek Skarlatos,0,0
November 9 2020 Monday,Alex Azar,0,0
November 30 2020 Monday,Alex Azar,0,0
December 7 2020 Monday,Alex Azar,0,0
December 22 2020 Tuesday,Alex Azar,0,0
November 16 2020 Monday,Alex Azar,0,0
December 6 2020 Sunday,Janelle King;Scott Atlas;Angela Marsden,1,0
October 21 2020 Wednesday,,0,0
June 3 2020 Wednesday,Chad Wolf;Mo Elleithee;Mara Liasson,0,0
June 28 2020 Sunday,Frank Luntz,0,0
February 12 2020 Wednesday,,0,0
April 3 2020 Friday,,0,0
April 9 2020 Thursday,,0,0
October 27 2020 Tuesday,Alyssa Farah,0,0
October 6 2020 Tuesday,Alyssa Farah,0,0
November 2 2020 Monday,Alyssa Farah,0,0
December 14 2020 Monday,James Mallios,0,0
December 28 2020 Monday,James Mallios,0,0
August 3 2020 Monday,Justin Haskins;Mollie Hemingway;Warner DePriest;Kristan Hawkins;Ray Washburne;Robby Soave,1,1
June 29 2020 Monday,Marc Boom;Bernie Kerik;John Kennedy;Chris Hahn;Lynne Patton,0,0
March 16 2020 Monday,Deborah Birx;Mattia Ferraresi;Mark Steyn;Brock Long;Peter Hotez;Jim Banks,1,1
April 6 2020 Monday,,0,0
March 29 2020 Sunday,Lisa Desjardins;Bill Bennett,0,0
December 1 2020 Tuesday,Josh Hawley;Mike Coughlin;Alex Berenson;Ramin Oskoui;Ro Khanna,1,0
November 10 2020 Tuesday,Victor Davis Hanson;Sidney Powell;Lindsey Graham;Scott Atlas,1,0
May 3 2020 Sunday,Matt Gaetz;Rick Scott,1,0
August 6 2020 Thursday,Christopher Bedford;Jason Hill;Eric Metaxas;Seth Barron;Wesley Ouchi;Jason Rantz,1,1
March 27 2020 Friday,Steve Kassapidis;Chris Bedford;Stephen Richardson;Adam Carolla;Johann Hari,1,1
June 24 2020 Wednesday,Mark Steyn;Kristen Waggoner;Jason Rantz,1,1
March 30 2020 Monday,Brett Giroir;Gordon Chang;Matt Gaetz;Jason Ouimet;Alveda King,1,1
June 5 2020 Friday,Matt Walsh;Wilfred Reilly;Jason Rantz,1,1
January 7 2020 Tuesday,Stephanie Girsham,0,0
January 7 2020 Tuesday,Ro Khanna,0,0
December 28 2020 Monday,COVID-19 Pandemic; COVID-19 Relief Bill; Joe Biden; Democratic Party; The Squad; China Threat; ,0,0
June 18 2020 Thursday,DJ Vance;Matt Gaetz;Nestor Galban;Vincent Champion;Joey Rodolfo,1,1
November 14 2020 Saturday,Joe DeVito,1,0
January 17 2020 Friday,Ethan Bearman;Drew Pinsky;Buck Sexton;Blake Harris;Seth Dillon,1,1
January 6 2020 Monday,Andrew Bacevich;Michael Baden;Jeff Van Drew;Mark Steyn,1,1
August 8 2020 Saturday,Kellyanne Conway;Tim Murtaugh;Phil Robertson;Jeremy Roenick;Paul De Gelder,1,0
December 16 2020 Wednesday,Steve Milloy;Scott Atlas;Melissa Melendez;Mike Huckabee;Dinesh D'Souza,1,0
June 30 2020 Tuesday,Raheem Kassam;Sara Carter;Phil Kerpen;Dan Patrick;Julio Rosas;Andrew McCrone,1,0
September 11 2020 Friday,,0,0
March 12 2020 Thursday,Daniel Stanton;Gordon Chang;Mark Steyn;Brendan Carr;Tom Frieden,1,1
March 21 2020 Saturday,Drew Pinsky,1,0
June 8 2020 Monday,Peter Kirsanow;Richard Grenell,1,1
April 22 2020 Wednesday,Kevin McCarthy;Ron DeSantis;Robert Spalding;Matt Gaetz;Reince Priebus;Dennis Miller,1,0
December 31 2020 Thursday,Miranda Devine;Candace Owens;Leo Terrell;Ric Grenell;Darrell Issa;Larry Elder,0,0
June 29 2020 Monday,Dinesh D'Souza;Victor Davis Hanson;Charlie Kirk;Kristi Noem;Charles Hurt,1,0
May 15 2020 Friday,Kevin Robinson;Robert Patillo;Francey Hakes;Chris Fenton;Bill Burt,1,1
May 18 2020 Monday,Ian Smith;John Kennedy;Zaid Jilani;Matthew Whitaker;Daniel Goldin,1,1
July 3 2020 Friday,Rick Savage;Father Kevin Robinson;Shelley Luther;David Portnoy,1,1
January 1 2020 Wednesday,Darren Prince;Dennis Rodman;Cameron Douglas;Joe Namath;Suzanne Somers;Patrick Kennedy;Josh ,1,1
February 17 2020 Monday,A.B. Stoddard,0,0
October 13 2020 Tuesday,Harold Ford Jr.;Moncef Slaoui,0,0
October 13 2020 Tuesday,Alex Berenson;Josh Hawley;Jason Whitlock;Ken Buck;Matt Birk,1,1
October 26 2020 Monday,Lindsey Graham;Lara Trump;David Bossie;Corey Lewandowski,1,0
December 9 2020 Wednesday,,0,0
May 8 2020 Friday,Jim Durkin;Scott Wiggam;Kevin Brock;Sara Carter;Gregg Jarrett;Rachel Campos-Duffy;Taurean ,1,0
April 2 2020 Thursday,Victor Davis Hanson;Alan Dershowitz;Stephen Smith;William Grace;Daliah Wachs;Mark Cuban,1,0
July 17 2020 Friday,,0,0
June 22 2020 Monday,Victor Davis Hanson;Jason Rantz;Larry Elder,1,1
January 5 2020 Sunday,Andrew Roberts,1,0
December 2 2020 Wednesday,Glenn Greenwald;Matt Gaetz;Phil Kline;Claudia Tenney;Sucharit Bhakdi,1,0
December 11 2020 Friday,Brett Tolman;Victor Davis Hanson;Matt Gaetz;Michael Waltz;David Shafer;Dave Rubin;Charlie LeDuff;,0,0
June 15 2020 Monday,,0,0
November 16 2020 Monday,,0,0
June 29 2020 Monday,,0,0
November 2 2020 Monday,Anthony Scaramucci,0,0
